Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km)
alfa-romeo,Alfa Romeo Giulia,blau,09/2020,2020,28980,147.0,200.0,Automatik,Benzin,5.1,134.0,15000.0
alfa-romeo,Alfa Romeo Giulia,blau,06/2020,2020,38900,206.0,280.0,keine Angabe,Benzin,,,32700.0
alfa-romeo,Alfa Romeo Stelvio,blau,09/2020,2020,26950,140.0,190.0,Automatik,Diesel,,182.0,110000.0
alfa-romeo,Alfa Romeo Stelvio,blau,04/2020,2020,34870,147.0,200.0,Automatik,Benzin,7.0,161.0,29693.0
alfa-romeo,Alfa Romeo Giulia,blau,12/2020,2020,42990,154.0,209.0,Automatik,Diesel,5.2,138.0,26519.0
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,38500,206.0,280.0,Automatik,Benzin,7.4,0.0,40458.0
alfa-romeo,Alfa Romeo Giulia,blau,05/2020,2020,54900,206.0,280.0,Automatik,Benzin,7.7,178.0,15000.0
alfa-romeo,Alfa Romeo Giulia,blau,10/2020,2020,44500,206.0,280.0,Automatik,Benzin,7.0,,45000.0
alfa-romeo,Alfa Romeo Stelvio,blau,02/2020,2020,58490,206.0,280.0,Automatik,Benzin,7.0,161.0,36900.0
alfa-romeo,Alfa Romeo Stelvio,blau,11/2020,2020,28990,140.0,190.0,Automatik,Diesel,5.6,145.0,121800.0
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,40890,154.0,209.0,Automatik,Diesel,5.5,144.0,34990.0
alfa-romeo,Alfa Romeo Stelvio,blau,08/2020,2020,48900,206.0,280.0,Automatik,Benzin,7.1,161.0,8500.0
alfa-romeo,Alfa Romeo Stelvio,blau,06/2020,2020,43860,206.0,280.0,Automatik,Benzin,6.9,157.0,49700.0
alfa-romeo,Alfa Romeo Stelvio,blau,05/2020,2020,36700,140.0,190.0,Automatik,Diesel,5.7,150.0,73900.0
alfa-romeo,Alfa Romeo Stelvio,blau,07/2020,2020,36400,140.0,190.0,Automatik,Diesel,5.7,150.0,49875.0
alfa-romeo,Alfa Romeo Giulietta,grau,12/2020,2020,22990,125.0,170.0,Automatik,Diesel,5.5,145.0,52251.0
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34690,147.0,200.0,Automatik,Benzin,7.0,161.0,21300.0
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,37190,147.0,200.0,Automatik,Benzin,7.1,161.0,42850.0
alfa-romeo,Alfa Romeo Stelvio,grau,05/2020,2020,34490,147.0,200.0,Automatik,Benzin,7.0,161.0,21300.0
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,60890,375.0,510.0,Automatik,Benzin,10.0,229.0,36150.0
alfa-romeo,Alfa Romeo Giulia,grau,12/2020,2020,44700,154.0,209.0,Automatik,Diesel,,165.0,15373.0
alfa-romeo,Alfa Romeo Giulia,grau,09/2020,2020,33950,206.0,280.0,Automatik,Benzin,,,18291.0
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34750,206.0,280.0,Automatik,Benzin,8.0,254.0,7580.0
alfa-romeo,Alfa Romeo Stelvio,grau,06/2020,2020,36990,147.0,200.0,Automatik,Benzin,8.0,,26600.0
alfa-romeo,Alfa Romeo Stelvio,grau,07/2020,2020,34990,147.0,200.0,Automatik,Benzin,7.0,160.0,42617.0
alfa-romeo,Alfa Romeo Stelvio,grau,09/2020,2020,39950,206.0,280.0,Automatik,Benzin,7.2,165.0,58000.0
alfa-romeo,Alfa Romeo Stelvio,grau,02/2020,2020,39900,206.0,280.0,Automatik,Benzin,7.0,158.0,45400.0
alfa-romeo,Alfa Romeo Stelvio,grau,04/2020,2020,42900,206.0,280.0,Automatik,Benzin,7.1,161.0,57599.0
alfa-romeo,Alfa Romeo Giulia,grau,10/2020,2020,30000,100.0,136.0,Automatik,Diesel,5.0,131.0,11500.0
alfa-romeo,Alfa Romeo Giulia,grau,04/2020,2020,46590,206.0,280.0,Automatik,Benzin,,,25690.0
alfa-romeo,Alfa Romeo Stelvio,grau,10/2020,2020,36990,147.0,200.0,Automatik,Benzin,7.1,161.0,42850.0
alfa-romeo,Alfa Romeo Stelvio,grün,12/2020,2020,49890,154.0,209.0,Automatik,Diesel,5.8,144.0,25000.0
alfa-romeo,Alfa Romeo Giulietta,grün,03/2020,2020,23990,125.0,170.0,Automatik,Diesel,5.2,136.0,62403.0
alfa-romeo,Alfa Romeo Stelvio,rot,06/2020,2020,33780,147.0,200.0,Automatik,Benzin,7.1,161.0,58457.0
alfa-romeo,Alfa Romeo Stelvio,rot,06/2020,2020,51900,206.0,280.0,Automatik,Benzin,6.9,157.0,23900.0
alfa-romeo,Alfa Romeo Stelvio,rot,03/2020,2020,27450,118.0,160.0,Automatik,Diesel,5.4,142.0,38000.0
alfa-romeo,Alfa Romeo Stelvio,rot,12/2020,2020,69390,375.0,510.0,keine Angabe,Benzin,9.8,222.0,22500.0
alfa-romeo,Alfa Romeo Stelvio,rot,11/2020,2020,67490,375.0,510.0,Automatik,Benzin,9.2,214.0,18750.0
alfa-romeo,Alfa Romeo Stelvio,rot,04/2020,2020,65000,375.0,510.0,Automatik,Benzin,9.8,227.0,14177.0
alfa-romeo,Alfa Romeo Giulia,rot,05/2020,2020,39950,206.0,280.0,Automatik,Benzin,7.0,160.0,24000.0
alfa-romeo,Alfa Romeo Stelvio,rot,10/2020,2020,39450,147.0,200.0,Automatik,Benzin,9.2,207.0,15500.0
alfa-romeo,Alfa Romeo Stelvio,rot,02/2020,2020,26990,118.0,160.0,Automatik,Diesel,,0.0,69700.0
alfa-romeo,Alfa Romeo Stelvio,rot,08/2020,2020,28980,148.0,201.0,Automatik,Benzin,,211.0,44964.0
alfa-romeo,Alfa Romeo Giulia,rot,10/2020,2020,28990,147.0,200.0,Automatik,Benzin,6.4,149.0,43899.0
alfa-romeo,Alfa Romeo Stelvio,rot,10/2020,2020,35490,147.0,200.0,Automatik,Benzin,7.0,161.0,48999.0
alfa-romeo,Alfa Romeo Giulia,rot,11/2020,2020,31900,140.0,190.0,Automatik,Diesel,6.4,149.0,73000.0
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,44800,154.0,209.0,Automatik,Diesel,,0.0,34150.0
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,36980,154.0,209.0,Automatik,Diesel,5.9,155.0,88108.0
alfa-romeo,Alfa Romeo Stelvio,rot,01/2020,2020,33990,140.0,190.0,Automatik,Diesel,,,54518.0
alfa-romeo,Alfa Romeo Stelvio,rot,09/2020,2020,32900,140.0,190.0,Automatik,Diesel,5.5,144.0,61670.0
alfa-romeo,Alfa Romeo Giulia,rot,09/2020,2020,40000,206.0,280.0,Automatik,Benzin,7.0,,30000.0
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,64780,375.0,510.0,Automatik,Benzin,9.3,211.0,19700.0
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,47490,154.0,209.0,Automatik,Diesel,5.2,138.0,1000.0
alfa-romeo,Alfa Romeo Giulietta,schwarz,04/2020,2020,20950,125.0,170.0,Automatik,Diesel,5.2,136.0,80199.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,07/2020,2020,35750,147.0,200.0,Automatik,Benzin,8.0,185.0,37393.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,46990,154.0,209.0,Automatik,Diesel,5.7,150.0,37400.0
alfa-romeo,Alfa Romeo Giulietta,schwarz,09/2020,2020,25890,88.0,120.0,Schaltgetriebe,Benzin,7.4,170.0,36500.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,67490,375.0,510.0,Automatik,Benzin,9.8,227.0,10633.0
alfa-romeo,Alfa Romeo Giulietta,schwarz,12/2020,2020,22900,125.0,170.0,Automatik,Diesel,5.2,136.0,74000.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,01/2020,2020,37500,154.0,209.0,Automatik,Diesel,5.2,134.0,33548.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,09/2020,2020,66990,375.0,510.0,Automatik,Benzin,10.0,,35000.0
alfa-romeo,Alfa Romeo Giulia,schwarz,04/2020,2020,26990,147.0,200.0,Automatik,Benzin,6.4,149.0,99573.0
alfa-romeo,Alfa Romeo Giulia,schwarz,12/2020,2020,43990,154.0,209.0,Automatik,Diesel,5.2,138.0,29500.0
alfa-romeo,Alfa Romeo Giulia,schwarz,04/2020,2020,33500,148.0,201.0,Automatik,Benzin,7.1,164.0,27355.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,10/2020,2020,38990,140.0,190.0,Automatik,Diesel,5.2,138.0,65151.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,09/2020,2020,37970,147.0,200.0,Automatik,Benzin,7.1,161.0,10182.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,02/2020,2020,64900,375.0,510.0,Automatik,Benzin,9.8,261.0,46100.0
alfa-romeo,Alfa Romeo Giulia,schwarz,10/2020,2020,48399,154.0,209.0,Automatik,Diesel,5.1,134.0,22000.0
alfa-romeo,Alfa Romeo Stelvio,schwarz,05/2020,2020,39990,148.0,201.0,Automatik,Benzin,7.0,161.0,17101.0
alfa-romeo,Alfa Romeo Giulia,silber,03/2020,2020,27990,147.0,200.0,Automatik,Benzin,6.8,157.0,22400.0
alfa-romeo,Alfa Romeo Giulia,silber,03/2020,2020,28900,147.0,200.0,Automatik,Benzin,,,34508.0
alfa-romeo,Alfa Romeo Giulia,silber,10/2020,2020,33000,147.0,200.0,Automatik,Benzin,,,48600.0
alfa-romeo,Alfa Romeo Stelvio,silber,09/2020,2020,38850,147.0,200.0,Automatik,Benzin,7.5,,39700.0
alfa-romeo,Alfa Romeo Stelvio,silber,09/2020,2020,47990,154.0,209.0,Automatik,Diesel,,182.0,46990.0
alfa-romeo,Alfa Romeo Stelvio,violett,10/2020,2020,34900,206.0,280.0,Automatik,Benzin,7.2,165.0,18905.0
alfa-romeo,Alfa Romeo Giulia,weiß,08/2020,2020,64700,375.0,510.0,Automatik,Benzin,12.0,243.0,6340.0
alfa-romeo,Alfa Romeo Giulia,weiß,02/2020,2020,35990,147.0,200.0,Automatik,Benzin,7.0,158.0,48499.0
alfa-romeo,Alfa Romeo Stelvio,weiß,11/2020,2020,41999,154.0,209.0,keine Angabe,Diesel,5.7,150.0,37000.0
alfa-romeo,Alfa Romeo Stelvio,weiß,04/2020,2020,58990,375.0,510.0,Automatik,Benzin,9.8,227.0,48896.0
alfa-romeo,Alfa Romeo Stelvio,weiß,03/2020,2020,41950,154.0,209.0,Automatik,Diesel,,175.0,39427.0
alfa-romeo,Alfa Romeo Stelvio,weiß,08/2020,2020,28450,140.0,190.0,Automatik,Diesel,6.5,171.0,115000.0
alfa-romeo,Alfa Romeo Stelvio,weiß,12/2020,2020,43490,154.0,209.0,Automatik,Diesel,5.7,150.0,30500.0
alfa-romeo,Alfa Romeo Stelvio,weiß,06/2020,2020,38890,206.0,280.0,Automatik,Benzin,8.0,186.0,23800.0
alfa-romeo,Alfa Romeo Stelvio,weiß,12/2020,2020,41890,154.0,209.0,Automatik,Diesel,5.5,144.0,56996.0
alfa-romeo,Alfa Romeo Stelvio,weiß,08/2020,2020,36900,140.0,190.0,Automatik,Diesel,5.7,167.0,67805.0
alfa-romeo,Alfa Romeo Stelvio,weiß,06/2020,2020,38990,206.0,280.0,Automatik,Benzin,,0.0,30316.0
alfa-romeo,Alfa Romeo Giulietta,weiß,12/2020,2020,23900,88.0,120.0,Automatik,Diesel,4.9,130.0,43900.0
alfa-romeo,Alfa Romeo Stelvio,weiß,04/2020,2020,37900,154.0,209.0,Automatik,Diesel,5.7,150.0,70100.0
aston-martin,Aston Martin V8,grau,01/2020,2020,135007,375.0,510.0,Automatik,Benzin,10.3,236.0,28229.0
aston-martin,Aston Martin DBX,grau,11/2020,2020,172888,405.0,551.0,Automatik,Benzin,16.9,269.0,42000.0
aston-martin,Aston Martin DB11,grau,03/2020,2020,154900,375.0,510.0,Automatik,Benzin,9.9,230.0,23400.0
aston-martin,Aston Martin DB11,grau,04/2020,2020,159900,375.0,510.0,Automatik,Benzin,11.2,257.0,17900.0
aston-martin,Aston Martin V8,grau,04/2020,2020,134900,375.0,510.0,Automatik,Benzin,10.3,236.0,20500.0
aston-martin,Aston Martin V8,grau,02/2020,2020,139900,375.0,510.0,Automatik,Benzin,10.3,236.0,30500.0
aston-martin,Aston Martin Rapide,grün,03/2020,2020,185007,444.0,604.0,Automatik,Benzin,13.2,305.0,6990.0
aston-martin,Aston Martin DBX,grün,11/2020,2020,179000,405.0,551.0,Automatik,Benzin,7.0,269.0,22500.0
aston-martin,Aston Martin DBS,schwarz,07/2020,2020,279900,533.0,725.0,Automatik,Benzin,12.4,285.0,22500.0
aston-martin,Aston Martin V8,schwarz,11/2020,2020,139007,375.0,510.0,Automatik,Benzin,10.5,236.0,8400.0
aston-martin,Aston Martin DB11,schwarz,05/2020,2020,179900,375.0,510.0,Automatik,Benzin,13.5,306.0,11500.0
aston-martin,Aston Martin DBX,schwarz,08/2020,2020,147270,405.0,551.0,Automatik,Benzin,14.3,269.0,17500.0
aston-martin,Aston Martin DBS,silber,06/2020,2020,269900,533.0,725.0,Automatik,Benzin,12.4,285.0,15900.0
aston-martin,Aston Martin V8,silber,03/2020,2020,179900,375.0,510.0,Automatik,Benzin,11.6,263.0,9360.0
aston-martin,Aston Martin V8,weiß,07/2020,2020,159989,375.0,510.0,Automatik,Benzin,10.3,236.0,25.0
aston-martin,Aston Martin DBX,weiß,11/2020,2020,174900,405.0,551.0,Automatik,Benzin,11.8,269.0,25568.0
audi,Audi A6 allroad,beige,03/2020,2020,49890,210.0,286.0,Automatik,Diesel,7.5,197.0,91641.0
audi,Audi A6,beige,06/2020,2020,36846,120.0,163.0,Automatik,Diesel,,,36650.0
audi,Audi A6,beige,02/2020,2020,48980,210.0,286.0,Automatik,Diesel,5.9,194.0,32250.0
audi,Audi e-tron,beige,02/2020,2020,49888,300.0,408.0,Automatik,Elektro,,0.0,76602.0
audi,Audi A6,beige,04/2020,2020,54900,210.0,286.0,Automatik,Diesel,5.8,151.0,62100.0
audi,Audi e-tron,beige,01/2020,2020,55920,300.0,408.0,Automatik,Elektro,,0.0,36600.0
audi,Audi A3,beige,12/2020,2020,37990,110.0,150.0,Schaltgetriebe,Benzin,4.8,114.0,33128.0
audi,Audi A6,beige,04/2020,2020,59980,150.0,204.0,Automatik,Diesel,4.9,118.0,53220.0
audi,Audi A6,beige,10/2020,2020,38490,270.0,367.0,Automatik,Hybrid,1.9,43.0,26070.0
audi,Audi A6,beige,03/2020,2020,38490,180.0,245.0,Automatik,Benzin,6.5,177.0,47000.0
audi,Audi A6,beige,08/2020,2020,38990,150.0,204.0,Automatik,Diesel,4.4,156.0,46000.0
audi,Audi A6,beige,08/2020,2020,36990,150.0,204.0,Automatik,Diesel,4.4,156.0,48000.0
audi,Audi A6,beige,03/2020,2020,34930,150.0,204.0,Automatik,Diesel,4.4,156.0,82000.0
audi,Audi A6,beige,04/2020,2020,59623,150.0,204.0,Automatik,Diesel,4.5,152.0,61621.0
audi,Audi e-tron,beige,06/2020,2020,40939,300.0,408.0,Automatik,Elektro,,0.0,38604.0
audi,Audi A6,beige,06/2020,2020,46980,210.0,286.0,Automatik,Diesel,7.4,193.0,73805.0
audi,Audi A6 allroad,beige,04/2020,2020,59990,170.0,231.0,Automatik,Diesel,,,42901.0
audi,Audi A7,beige,02/2020,2020,53750,210.0,286.0,Automatik,Diesel,5.8,150.0,40516.0
audi,Audi A7,beige,02/2020,2020,38690,185.0,252.0,Automatik,Hybrid,,,75500.0
audi,Audi A3,blau,06/2020,2020,27930,110.0,150.0,Schaltgetriebe,Benzin,4.9,113.0,43105.0
audi,Audi A6,blau,01/2020,2020,46499,210.0,286.0,Automatik,Diesel,5.8,150.0,53000.0
audi,Audi A5,blau,10/2020,2020,39950,150.0,204.0,Automatik,Benzin,6.7,152.0,9500.0
audi,Audi e-tron,blau,09/2020,2020,51840,300.0,408.0,Automatik,Elektro,,0.0,28334.0
audi,Audi A3,blau,11/2020,2020,28250,110.0,150.0,Schaltgetriebe,Benzin,6.0,137.0,3201.0
audi,Audi e-tron,blau,03/2020,2020,49880,300.0,408.0,Automatik,Elektro,,,50500.0
audi,Audi Q5,blau,02/2020,2020,44900,270.0,367.0,Automatik,Hybrid,,,21600.0
audi,Audi e-tron,blau,03/2020,2020,45989,230.0,313.0,Automatik,Elektro,,,43417.0
audi,Audi A4,blau,10/2020,2020,40690,195.0,265.0,Automatik,Benzin,7.0,161.0,6100.0
audi,Audi e-tron,blau,03/2020,2020,41950,230.0,313.0,Automatik,Elektro,,,50374.0
audi,Audi A6,blau,10/2020,2020,48890,270.0,367.0,Automatik,Hybrid,1.9,43.0,42000.0
audi,Audi A3,blau,07/2020,2020,27550,150.0,204.0,Automatik,Hybrid,1.6,38.0,17280.0
audi,Audi A6,blau,12/2020,2020,46890,220.0,299.0,Automatik,Hybrid,1.6,36.0,35500.0
audi,Audi A4,blau,08/2020,2020,26490,140.0,190.0,Automatik,Diesel,4.6,120.0,60250.0
audi,Audi e-tron,blau,01/2020,2020,48845,300.0,408.0,Automatik,Elektro,,,67950.0
audi,Audi A6,blau,04/2020,2020,54990,250.0,340.0,Automatik,Benzin,8.8,199.0,49677.0
audi,Audi Q5,blau,06/2020,2020,50690,170.0,231.0,Automatik,Diesel,6.2,163.0,23434.0
audi,Audi e-tron,blau,02/2020,2020,56940,300.0,408.0,Automatik,Elektro,,0.0,69100.0
audi,Audi S5,blau,02/2020,2020,56500,260.0,354.0,Automatik,Benzin,,,25000.0
