Werkstoff,Kraft_N,Verlaengerung_mm,Querschnitt_mm2
Stahl,5397.4,0.05198,48.9
Stahl,5807.8,0.05488,50.9
Stahl,7354.9,0.07202,48.7
Stahl,8973.5,0.08465,51.5
Stahl,8486.1,0.0784,50.8
Stahl,9404.5,0.09062,49.1
Stahl,11773.6,0.11465,48.5
Stahl,12042.5,0.10927,50.9
Stahl,11971.4,0.11328,50.6
Stahl,13699.4,0.12937,50.7
Stahl,13812.9,0.12946,50.8
Stahl,14729.5,0.14328,48.7
Stahl,16214.0,0.15133,49.6
Stahl,15408.2,0.14894,48.8
Stahl,16477.2,0.15253,51.1
Stahl,18325.7,0.17047,50.4
Stahl,18883.6,0.1811,49.5
Stahl,20863.6,0.20569,48.7
Stahl,20804.2,0.20797,49.4
Stahl,21319.1,0.20591,49.5
Stahl,24539.9,0.23172,50.7
Stahl,24105.1,0.22735,50.4
Stahl,25258.1,0.22607,51.2
Stahl,24982.7,0.2382,49.9
Stahl,26605.3,0.25961,48.9
Stahl,28047.9,0.27674,50.6
Stahl,27956.8,0.26114,50.8
Stahl,30096.5,0.28731,50.2
Stahl,30233.8,0.28314,50.8
Stahl,31399.3,0.29216,50.0
Stahl,32069.7,0.31198,50.1
Stahl,34951.2,0.33935,49.8
Stahl,34377.0,0.34233,48.6
Stahl,34460.0,0.32998,48.8
Stahl,36882.5,0.37156,48.6
Stahl,36166.2,0.33206,50.4
Stahl,38228.3,0.3725,49.4
Stahl,37411.9,0.37172,50.0
Stahl,38835.4,0.35388,51.2
Stahl,40973.8,0.3917,49.2
Stahl,42325.5,0.40609,49.7
Stahl,42790.2,0.39733,50.8
Stahl,43478.9,0.40788,49.2
Stahl,44248.9,0.43299,48.7
Stahl,44225.3,0.41751,49.4
Stahl,45750.7,0.44897,49.0
Stahl,46876.4,0.42722,51.3
Stahl,49009.0,0.47249,50.9
Stahl,49356.5,0.45902,50.4
Stahl,48589.6,0.44975,51.1
Aluminium,5650.8,0.15479,51.4
Aluminium,4933.7,0.13864,51.1
Aluminium,7018.7,0.20322,49.4
Aluminium,8800.8,0.2499,49.7
Aluminium,7387.5,0.21558,51.1
Aluminium,9739.5,0.28493,49.5
Aluminium,10718.1,0.29977,49.0
Aluminium,12054.0,0.34451,50.2
Aluminium,11357.4,0.31204,51.3
Aluminium,12208.9,0.35065,50.6
Aluminium,14601.2,0.40885,50.2
Aluminium,15339.6,0.4481,48.8
Aluminium,16220.8,0.46492,50.3
Aluminium,17215.9,0.48611,51.5
Aluminium,17313.1,0.49344,48.9
Aluminium,18961.3,0.53754,50.1
Aluminium,19928.3,0.55149,51.1
Aluminium,20040.8,0.55706,50.7
Aluminium,23023.2,0.67308,50.6
Aluminium,22828.0,0.64962,50.6
Aluminium,22414.3,0.62957,49.6
Aluminium,24811.0,0.73095,49.4
Aluminium,24424.3,0.7142,50.9
Aluminium,26752.1,0.76588,50.9
Aluminium,27967.7,0.7581,51.1
Aluminium,27302.6,0.75383,51.2
Aluminium,29648.3,0.86797,50.0
Aluminium,30126.1,0.84849,50.0
Aluminium,31371.9,0.8884,50.9
Aluminium,33150.1,0.95324,50.4
Aluminium,32354.7,0.89642,50.6
Aluminium,32866.4,0.92157,50.9
Aluminium,33676.1,0.87923,51.2
Aluminium,34653.5,0.97933,49.5
Aluminium,36162.8,1.03574,49.6
Aluminium,37415.8,1.06837,48.8
Aluminium,38282.6,1.12422,50.2
Aluminium,39641.3,1.13172,48.6
Aluminium,39908.4,1.13254,49.9
Aluminium,41979.2,1.19947,50.1
